mm-yyyy,mm/yyyy,yyyy-mm,mmm_yyyy,Date,Location,Covid_Vacs_Administered,Covid_Vacs_Administered (In thousands),Covid_Vacs_Administered (in millions),MMWR_week
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,ME,1604932,1604.93,1.6,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,ME,1634116,1634.12,1.63,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,MH,0,0,0,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,MH,4127,4.13,0,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,MH,11197,11.2,0.01,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,MH,20512,20.51,0.02,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,MH,26519,26.52,0.03,17
May-21,May-21,2021/05,May-21,5/31/2021,MH,30257,30.26,0.03,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,MH,33077,33.08,0.03,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,MH,34349,34.35,0.03,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,MI,68398,68.4,0.07,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,MI,977030,977.03,0.98,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,MI,2318415,2318.42,2.32,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,MI,4419793,4419.79,4.42,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,MI,7118239,7118.24,7.12,17
May-21,May-21,2021/05,May-21,5/31/2021,MI,8687320,8687.32,8.69,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,MI,9424037,9424.04,9.42,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,MI,9574588,9574.59,9.57,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,MN,61399,61.4,0.06,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,MN,518744,518.74,0.52,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,MN,1393985,1393.99,1.39,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,MN,2751928,2751.93,2.75,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,MN,4354128,4354.13,4.35,17
May-21,May-21,2021/05,May-21,5/31/2021,MN,5420670,5420.67,5.42,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,MN,5867176,5867.18,5.87,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,MN,5955717,5955.72,5.96,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,MO,79047,79.05,0.08,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,MO,444384,444.38,0.44,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,MO,1279404,1279.4,1.28,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,MO,2524827,2524.83,2.52,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,MO,3985417,3985.42,3.99,17
May-21,May-21,2021/05,May-21,5/31/2021,MO,4679514,4679.51,4.68,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,MO,5111580,5111.58,5.11,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,MO,5217589,5217.59,5.22,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,MP,2709,2.71,0,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,MP,10050,10.05,0.01,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,MP,18363,18.36,0.02,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,MP,28566,28.57,0.03,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,MP,40089,40.09,0.04,17
May-21,May-21,2021/05,May-21,5/31/2021,MP,48584,48.58,0.05,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,MP,55616,55.62,0.06,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,MP,57308,57.31,0.06,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,MS,16950,16.95,0.02,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,MS,236401,236.4,0.24,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,MS,619251,619.25,0.62,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,MS,1158505,1158.51,1.16,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,MS,1591206,1591.21,1.59,17
May-21,May-21,2021/05,May-21,5/31/2021,MS,1769523,1769.52,1.77,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,MS,1909507,1909.51,1.91,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,MS,2040132,2040.13,2.04,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,MT,17511,17.51,0.02,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,MT,104525,104.53,0.1,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,MT,281422,281.42,0.28,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,MT,522897,522.9,0.52,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,MT,758111,758.11,0.76,17
May-21,May-21,2021/05,May-21,5/31/2021,MT,867123,867.12,0.87,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,MT,940056,940.06,0.94,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,MT,952254,952.25,0.95,28
